2017-02-15 20:17:11 status unpacked libsemanage-common:all 2.3-1build3
2017-02-15 20:17:11 status unpacked libsemanage-common:all 2.3-1build3
2017-02-15 20:17:11 install libsemanage1:arm64 <none> 2.3-1build3
2017-02-15 20:17:11 status half-installed libsemanage1:arm64 2.3-1build3
2017-02-15 20:17:11 status unpacked libsemanage1:arm64 2.3-1build3
2017-02-15 20:17:11 status unpacked libsemanage1:arm64 2.3-1build3
2017-02-15 20:17:11 install libsepol1:arm64 <none> 2.4-2
2017-02-15 20:17:11 status half-installed libsepol1:arm64 2.4-2
2017-02-15 20:17:11 status unpacked libsepol1:arm64 2.4-2
2017-02-15 20:17:11 status unpacked libsepol1:arm64 2.4-2
2017-02-15 20:17:11 install libsmartcols1:arm64 <none> 2.27.1-6ubuntu3
2017-02-15 20:17:11 status half-installed libsmartcols1:arm64 2.27.1-6ubuntu3
2017-02-15 20:17:11 status unpacked libsmartcols1:arm64 2.27.1-6ubuntu3
2017-02-15 20:17:11 status unpacked libsmartcols1:arm64 2.27.1-6ubuntu3
2017-02-15 20:17:11 install libss2:arm64 <none> 1.42.13-1ubuntu1
2017-02-15 20:17:11 status half-installed libss2:arm64 1.42.13-1ubuntu1
2017-02-15 20:17:11 status unpacked libss2:arm64 1.42.13-1ubuntu1
2017-02-15 20:17:11 status unpacked libss2:arm64 1.42.13-1ubuntu1
2017-02-15 20:17:11 install libsystemd0:arm64 <none> 229-4ubuntu4
2017-02-15 20:17:11 status half-installed libsystemd0:arm64 229-4ubuntu4
2017-02-15 20:17:11 status unpacked libsystemd0:arm64 229-4ubuntu4
2017-02-15 20:17:11 status unpacked libsystemd0:arm64 229-4ubuntu4
2017-02-15 20:17:11 install libtinfo5:arm64 <none> 6.0+20160213-1ubuntu1
2017-02-15 20:17:11 status half-installed libtinfo5:arm64 6.0+20160213-1ubuntu1
2017-02-15 20:17:11 status unpacked libtinfo5:arm64 6.0+20160213-1ubuntu1
2017-02-15 20:17:11 status unpacked libtinfo5:arm64 6.0+20160213-1ubuntu1
2017-02-15 20:17:11 install libudev1:arm64 <none> 229-4ubuntu4
2017-02-15 20:17:11 status half-installed libudev1:arm64 229-4ubuntu4
2017-02-15 20:17:11 status unpacked libudev1:arm64 229-4ubuntu4
2017-02-15 20:17:11 status unpacked libudev1:arm64 229-4ubuntu4
2017-02-15 20:17:11 install libustr-1.0-1:arm64 <none> 1.0.4-5
2017-02-15 20:17:11 status half-installed libustr-1.0-1:arm64 1.0.4-5
2017-02-15 20:17:12 status unpacked libustr-1.0-1:arm64 1.0.4-5
2017-02-15 20:17:12 status unpacked libustr-1.0-1:arm64 1.0.4-5
2017-02-15 20:17:12 install libuuid1:arm64 <none> 2.27.1-6ubuntu3
2017-02-15 20:17:12 status half-installed libuuid1:arm64 2.27.1-6ubuntu3
2017-02-15 20:17:12 status unpacked libuuid1:arm64 2.27.1-6ubuntu3
2017-02-15 20:17:12 status unpacked libuuid1:arm64 2.27.1-6ubuntu3
2017-02-15 20:17:12 install locales:all <none> 2.23-0ubuntu3
2017-02-15 20:17:12 status half-installed locales:all 2.23-0ubuntu3
2017-02-15 20:17:12 status unpacked locales:all 2.23-0ubuntu3
2017-02-15 20:17:12 status unpacked locales:all 2.23-0ubuntu3
2017-02-15 20:17:12 install login:arm64 <none> 1:4.2-3.1ubuntu5
2017-02-15 20:17:12 status half-installed login:arm64 1:4.2-3.1ubuntu5
2017-02-15 20:17:13 status unpacked login:arm64 1:4.2-3.1ubuntu5
2017-02-15 20:17:13 status unpacked login:arm64 1:4.2-3.1ubuntu5
2017-02-15 20:17:13 install lsb-base:all <none> 9.20160110
2017-02-15 20:17:13 status half-installed lsb-base:all 9.20160110
2017-02-15 20:17:13 status unpacked lsb-base:all 9.20160110
2017-02-15 20:17:13 status unpacked lsb-base:all 9.20160110
2017-02-15 20:17:13 install makedev:all <none> 2.3.1-93ubuntu1
